                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0914,                 5.2578,                 3.7162,                0.57316,                0.05431,                0.03075,                0.00956,                  2.231,                 4.3018,                 2.9144,             0.00025564,             0.00025564,             0.00025564
                      2,                 2.5786,                  3.579,                 2.8182,                0.25723,                0.34947,                0.23441,                0.07808,                 1.9815,                 2.7545,                 2.5183,             0.00050353,             0.00050353,             0.00050353
                      3,                  2.231,                 2.7194,                 2.5199,                0.35887,                0.48444,                 0.3354,                0.11586,                 1.9534,                 2.6216,                 2.4873,             0.00074296,             0.00074296,             0.00074296
                      4,                 2.0709,                 2.3502,                 2.3691,                0.28281,                0.59954,                0.41141,                0.15744,                 1.8281,                 2.2496,                 2.3344,             0.00073093,             0.00073093,             0.00073093
                      5,                 1.9797,                 2.1379,                 2.2803,                 0.5041,                0.54861,                0.43883,                0.17474,                 1.7333,                 2.1242,                 2.1859,             0.00073093,             0.00073093,             0.00073093
                      6,                 1.9117,                 1.9784,                  2.218,                0.69746,                0.48052,                0.56684,                0.23597,                 1.8125,                 1.9326,                 2.3356,             0.00071825,             0.00071825,             0.00071825
                      7,                 1.8661,                 1.8791,                 2.1842,                0.64272,                0.59239,                0.63494,                0.28068,                 1.6472,                 1.8473,                 2.1405,             0.00070556,             0.00070556,             0.00070556
                      8,                 1.8302,                 1.7942,                 2.1445,                 0.6051,                0.67361,                 0.6558,                0.27743,                 1.6697,                  1.666,                 2.1835,             0.00069287,             0.00069287,             0.00069287
                      9,                 1.7933,                  1.731,                 2.1209,                0.59064,                0.65037,                0.71481,                0.33281,                 1.6042,                 1.5521,                 2.0895,             0.00068018,             0.00068018,             0.00068018
                     10,                 1.7783,                 1.6723,                 2.0878,                0.53664,                0.68222,                0.67382,                0.30083,                 1.7051,                 1.6306,                 2.1856,             0.00066749,             0.00066749,             0.00066749
                     11,                  1.743,                 1.6356,                 2.0775,                0.58128,                0.68751,                0.69189,                 0.3388,                 1.5725,                 1.5167,                 2.0456,              0.0006548,              0.0006548,              0.0006548
                     12,                 1.7292,                 1.6076,                 2.0497,                0.57754,                0.77853,                0.76835,                0.38383,                 1.5101,                 1.4841,                 2.0341,             0.00064212,             0.00064212,             0.00064212
                     13,                 1.7032,                 1.5509,                 2.0385,                0.78302,                0.71236,                0.81106,                 0.4192,                 1.4576,                 1.3914,                 1.9899,             0.00062943,             0.00062943,             0.00062943
                     14,                 1.6933,                 1.5373,                 2.0305,                0.63284,                0.75042,                0.77358,                0.37207,                 1.4908,                 1.4475,                 2.0348,             0.00061674,             0.00061674,             0.00061674
                     15,                 1.6662,                 1.4967,                 2.0057,                0.77607,                0.73412,                0.82641,                0.42626,                  1.452,                 1.4183,                 2.0005,             0.00060405,             0.00060405,             0.00060405
                     16,                 1.6446,                 1.4664,                 1.9881,                0.69071,                0.80889,                0.81472,                0.38066,                 1.5015,                 1.3634,                 2.0012,             0.00059136,             0.00059136,             0.00059136
                     17,                 1.6345,                 1.4511,                 1.9778,                 0.7848,                0.80333,                0.88072,                0.47005,                 1.4062,                 1.2907,                 1.9432,             0.00057867,             0.00057867,             0.00057867
                     18,                 1.6082,                 1.3836,                 1.9524,                0.78964,                0.84414,                0.87309,                0.48338,                 1.3486,                 1.2302,                 1.8904,             0.00056598,             0.00056598,             0.00056598
                     19,                   1.61,                 1.3696,                  1.961,                0.81103,                0.84653,                0.86785,                0.48851,                 1.3522,                 1.1887,                 1.8772,              0.0005533,              0.0005533,              0.0005533
                     20,                 1.5976,                 1.3619,                 1.9508,                  0.801,                0.80785,                0.87844,                0.46109,                 1.4306,                 1.2373,                 1.9856,             0.00054061,             0.00054061,             0.00054061
                     21,                 1.5638,                 1.3188,                 1.9181,                0.81107,                0.85143,                0.89234,                0.49808,                 1.3688,                 1.1516,                 1.9032,             0.00052792,             0.00052792,             0.00052792
                     22,                 1.5647,                 1.3131,                 1.9208,                 0.8573,                0.87325,                0.93633,                0.48308,                 1.4418,                 1.1349,                 1.9697,             0.00051523,             0.00051523,             0.00051523
                     23,                 1.5495,                 1.2729,                 1.9051,                0.80472,                0.86738,                0.91706,                0.51107,                 1.3687,                 1.1343,                 1.8864,             0.00050254,             0.00050254,             0.00050254
                     24,                 1.5247,                 1.2672,                 1.8855,                 0.8644,                0.90263,                 0.9259,                0.52607,                 1.3029,                 1.1105,                 1.8228,             0.00048985,             0.00048985,             0.00048985
                     25,                  1.524,                 1.2461,                 1.8789,                0.87807,                0.88828,                0.93627,                 0.5702,                 1.2841,                 1.0105,                 1.8189,             0.00047716,             0.00047716,             0.00047716
                     26,                 1.5084,                 1.2377,                 1.8638,                0.85943,                0.86955,                0.91748,                0.54033,                 1.3121,                  1.064,                 1.8419,             0.00046448,             0.00046448,             0.00046448
                     27,                  1.497,                 1.2084,                  1.852,                0.90362,                0.89786,                0.94918,                0.58667,                 1.2357,                0.97094,                 1.7685,             0.00045179,             0.00045179,             0.00045179
                     28,                 1.4862,                 1.1855,                 1.8483,                0.87942,                0.87719,                0.93267,                0.53752,                 1.3458,                  1.027,                 1.8708,              0.0004391,              0.0004391,              0.0004391
                     29,                  1.479,                 1.1846,                 1.8498,                0.88292,                0.88827,                0.95442,                0.59304,                 1.2491,                0.96286,                 1.7771,             0.00042641,             0.00042641,             0.00042641
                     30,                 1.4589,                 1.1648,                 1.8256,                0.91905,                0.90664,                0.96077,                0.56045,                 1.3018,                 1.0016,                   1.82,             0.00041372,             0.00041372,             0.00041372
                     31,                  1.459,                 1.1641,                 1.8336,                0.91941,                0.90424,                0.95787,                0.55945,                 1.3765,                0.95864,                 1.8702,             0.00040103,             0.00040103,             0.00040103
                     32,                 1.4514,                 1.1285,                 1.8133,                0.90116,                0.91612,                 0.9503,                0.60236,                 1.2113,                0.91195,                 1.7387,             0.00038835,             0.00038835,             0.00038835
